
2024/01/25 (00:08:53) | ===> btop++ v.1.2.13
2024/01/25 (00:08:53) | ERROR: Failed to get size of terminal!

2024/08/08 (17:59:51) | ===> btop++ v.1.3.2
2024/08/08 (17:59:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/08 (17:59:51) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/08 (17:59:51) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/08 (17:59:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/08 (17:59:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/08 (17:59:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/08 (17:59:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/08 (18:01:15) | ===> btop++ v.1.3.2
2024/08/08 (18:01:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/08 (18:01:15) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/08 (18:01:15) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/08 (18:01:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/08 (18:01:15) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/08 (18:01:15) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/08 (18:01:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/08 (18:39:39) | ===> btop++ v.1.3.2
2024/08/08 (18:39:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/08 (18:39:39) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/08 (18:39:39) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/08 (18:39:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/08 (18:39:39) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/08 (18:39:39) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/08 (18:39:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/08 (18:43:27) | ===> btop++ v.1.3.2
